INPUT — GASTOS,,,,,,,,,,,,,,,,,,,,,,
Cargá acá todos los gastos del año (una sola tabla).,,,,,,,,,,,,,,,,,,,,,,
Tip: cargá TODO el año acá. Categorías y medios de pago se gestionan en CONFIG.,,,,,,,,,,,,,,,,,,,,,,
CARGA GASTOS DIARIOS,,,,,,,,,,"779.507,53",,,,,,,,,,,,
Fecha,Categoría,Subcategoría,Proveedor/Detalle,Descripción,Moneda,Importe,Medio de pago,Notas,TC aplicado,Importe MXN,Mes,Semana,Quincena,,,,,,,,,
21-mar-2026,Retiros -Mariana,,gastos disney mary,,MXN," $574,00",Tarjeta,,"1,00","574,00",2026-03,12,2026-03-Q2,,,,,,,,,
21-mar-2026,Retiros -Mariana,,compras camara amazon,,MXN," $1.500,00",Tarjeta,,"1,00","1.500,00",2026-03,12,2026-03-Q2,,,,,,,,,
22-mar-2026,Productos ,,amaszon pedido,,MXN," $850,00",Tarjeta,,"1,00","850,00",2026-03,12,2026-03-Q2,,,,,,,,,
24-mar-2026,Retiros -Mariana,,miami rosse,,MXN," $1.734,00",Tarjeta,,"1,00","1.734,00",2026-03,13,2026-03-Q2,,,,,,,,,
24-mar-2026,Retiros -Mariana,,gastos general miami,,MXN," $1.343,00",Tarjeta,,"1,00","1.343,00",2026-03,13,2026-03-Q2,,,,,,,,,
25-mar-2026,Servicios,,pestañas pedido mercado libre,,MXN," $1.200,00",Tarjeta,,"1,00","1.200,00",2026-03,13,2026-03-Q2,,,,,,,,,
25-mar-2026,Retiros -Mariana,,crema hidratante,,MXN," $364,00",Tarjeta,,"1,00","364,00",2026-03,13,2026-03-Q2,,,,,,,,,
26-mar-2026,Gastos Operativos,,cafe bolsa,,MXN," $300,00",Tarjeta,,"1,00","300,00",2026-03,13,2026-03-Q2,,,,,,,,,
26-mar-2026,Retiros -Mariana,,maru walmart ,,MXN," $715,00",Tarjeta,,"1,00","715,00",2026-03,13,2026-03-Q2,,,,,,,,,
26-mar-2026,Servicios,,suscrpciones amazon spotify,,MXN," $240,00",Tarjeta,,"1,00","240,00",2026-03,13,2026-03-Q2,,,,,,,,,
26-mar-2026,Retiros -Mariana,,crema sofi amazon,,MXN," $850,00",Tarjeta,,"1,00","850,00",2026-03,13,2026-03-Q2,,,,,,,,,
30-mar-2026,Retiros -Mariana,,gimnasio ,,MXN," $830,00",Tarjeta,,"1,00","830,00",2026-03,14,2026-03-Q2,,,,,,,,,
