INPUT — CORTES (Ventas),,,,,,,,,,,,,,,,
Cargá acá las ventas diarias. No edites DB/CALC.,,,,,,,,,,,,,,,,
Regla: Venta neta negocio = Total cobrado - Propina (propina no cuenta como ingreso del negocio).,,,,,,,,,,,,,,,,
CARGA CORTES DIARIOS,,,,,,,,,,,,,,,,
Fecha,Cliente,Staff,Servicio,Moneda,Total cobrado,Propina,Medio de pago,Notas,Venta neta negocio,TC aplicado,Total MXN,Propina MXN,Neto MXN,Mes,Semana,Quincena
08-ene-2026,so gagine,FLOR,Facial,MXN," $850,00",,Tarjeta,," $850,00",1," $850,00"," $0,00"," $850,00",2026-01,2,2026-01-Q1
08-ene-2026,vakours,FANNY,Manos Gel,MXN," $600,00",,Efectivo,gif card," $600,00",1," $600,00"," $0,00"," $600,00",2026-01,2,2026-01-Q1
10-ene-2026,sophie ,MARU,Kapping Gel,MXN," $809,00"," $74,00",Tarjeta,," $735,00",1," $809,00"," $74,00"," $735,00",2026-01,2,2026-01-Q1
10-ene-2026,carlise,FANNY,Kapping Gel,MXN," $600,00",,Tarjeta,," $600,00",1," $600,00"," $0,00"," $600,00",2026-01,2,2026-01-Q1
10-ene-2026,amiga carlise,FLOR,Manicura Spa,MXN," $345,00",,Tarjeta,," $345,00",1," $345,00"," $0,00"," $345,00",2026-01,2,2026-01-Q1
10-ene-2026,nathaly,FLOR,Esculpidas,MXN," $913,00"," $73,00",Tarjeta,," $840,00",1," $913,00"," $73,00"," $840,00",2026-01,2,2026-01-Q1
10-ene-2026,nathaly,FLOR,Lifting,MXN," $703,00"," $73,00",Tarjeta,," $630,00",1," $703,00"," $73,00"," $630,00",2026-01,2,2026-01-Q1
10-ene-2026,walk in,MARU,Manos Gel,MXN," $600,00",,Efectivo,," $600,00",1," $600,00"," $0,00"," $600,00",2026-01,2,2026-01-Q1
10-ene-2026,walk in,MARU,Pies Gel ,MXN," $600,00",,Efectivo,," $600,00",1," $600,00"," $0,00"," $600,00",2026-01,2,2026-01-Q1
10-ene-2026,maria jose,FLOR,Manos Gel,MXN," $700,00",,Efectivo,," $700,00",1," $700,00"," $0,00"," $700,00",2026-01,2,2026-01-Q1
10-ene-2026,carisse,FLOR,Lifting,MXN," $500,00",,Tarjeta,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,2,2026-01-Q1
10-ene-2026,carisse,MARU,Manos Gel,MXN," $550,00",,Tarjeta,," $550,00",1," $550,00"," $0,00"," $550,00",2026-01,2,2026-01-Q1
10-ene-2026,kimcita,FANNY,Esculpidas,MXN," $480,00",,Tarjeta,," $480,00",1," $480,00"," $0,00"," $480,00",2026-01,2,2026-01-Q1
10-ene-2026,walk in,FANNY,Manos Gel,MXN," $578,00",,Tarjeta,," $578,00",1," $578,00"," $0,00"," $578,00",2026-01,2,2026-01-Q1
10-ene-2026,tair,FANNY,Services Esculpidas,MXN," $1.050,00",,Tarjeta,," $1.050,00",1," $1.050,00"," $0,00"," $1.050,00",2026-01,2,2026-01-Q1
11-ene-2026,jenny,FLOR,Manos Gel,MXN," $500,00",,Efectivo,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,2,2026-01-Q1
11-ene-2026,walk in,FLOR,Extras,MXN," $100,00",,Tarjeta,," $100,00",1," $100,00"," $0,00"," $100,00",2026-01,2,2026-01-Q1
12-ene-2026,juli paglieri,FANNY,Esculpidas,MXN," $1.323,00"," $220,00",Tarjeta,," $1.103,00",1," $1.323,00"," $220,00"," $1.103,00",2026-01,3,2026-01-Q1
12-ene-2026,iara vemtura,MARU,Pies Gel ,MXN," $550,00",,Efectivo,," $550,00",1," $550,00"," $0,00"," $550,00",2026-01,3,2026-01-Q1
12-ene-2026,mafer,MARU,Manos Gel,MXN," $500,00",,Transferencia,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,3,2026-01-Q1
12-ene-2026,mafer,MARU,Pies Gel ,MXN," $500,00",,Transferencia,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,3,2026-01-Q1
12-ene-2026,walk in,FANNY,Pies Gel ,MXN," $650,00",,Tarjeta,," $650,00",1," $650,00"," $0,00"," $650,00",2026-01,3,2026-01-Q1
12-ene-2026,walk in,FANNY,Kapping Gel,MXN," $925,00",,Tarjeta,," $925,00",1," $925,00"," $0,00"," $925,00",2026-01,3,2026-01-Q1
12-ene-2026,julia,FANNY,Manicura Spa,MXN," $440,00",,Tarjeta,," $440,00",1," $440,00"," $0,00"," $440,00",2026-01,3,2026-01-Q1
12-ene-2026,julia,FANNY,Pies Gel ,MXN," $526,00"," $126,00",Tarjeta,," $400,00",1," $526,00"," $126,00"," $400,00",2026-01,3,2026-01-Q1
12-ene-2026,karen,FANNY,Manos Gel,MXN," $541,00"," $71,00",Tarjeta,," $470,00",1," $541,00"," $71,00"," $470,00",2026-01,3,2026-01-Q1
13-ene-2026,delfi,MARU,Manos Gel,MXN," $450,00",,Transferencia,," $450,00",1," $450,00"," $0,00"," $450,00",2026-01,3,2026-01-Q1
13-ene-2026,delfi,FLOR,Pies Gel ,MXN," $450,00",,Transferencia,," $450,00",1," $450,00"," $0,00"," $450,00",2026-01,3,2026-01-Q1
13-ene-2026,raquel,FANNY,Kapping Gel,MXN," $600,00",,Transferencia,," $600,00",1," $600,00"," $0,00"," $600,00",2026-01,3,2026-01-Q1
13-ene-2026,raqquel,FANNY,Pies Gel ,MXN," $500,00",,Transferencia,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,3,2026-01-Q1
13-ene-2026,tati,FANNY,Services Esculpidas,MXN," $900,00",,Tarjeta,," $900,00",1," $900,00"," $0,00"," $900,00",2026-01,3,2026-01-Q1
13-ene-2026,tati,MARU,Pies Gel ,MXN," $550,00",,Tarjeta,," $550,00",1," $550,00"," $0,00"," $550,00",2026-01,3,2026-01-Q1
13-ene-2026,fran o ,FLOR,Manicura Spa,MXN," $350,00",,Efectivo,," $350,00",1," $350,00"," $0,00"," $350,00",2026-01,3,2026-01-Q1
13-ene-2026,fran o ,FLOR,Pies Gel ,MXN," $400,00",,Efectivo,," $400,00",1," $400,00"," $0,00"," $400,00",2026-01,3,2026-01-Q1
13-ene-2026,walk in,FLOR,Manos Gel,MXN," $525,00",,Tarjeta,," $525,00",1," $525,00"," $0,00"," $525,00",2026-01,3,2026-01-Q1
13-ene-2026,walk in,FLOR,Pies Gel ,MXN," $525,00",,Tarjeta,," $525,00",1," $525,00"," $0,00"," $525,00",2026-01,3,2026-01-Q1
13-ene-2026,anna,FANNY,Manos Gel,MXN," $1.350,00"," $100,00",Tarjeta,," $1.250,00",1," $1.350,00"," $100,00"," $1.250,00",2026-01,3,2026-01-Q1
13-ene-2026,anna,FLOR,Pies Gel ,MXN," $750,00",,Tarjeta,," $750,00",1," $750,00"," $0,00"," $750,00",2026-01,3,2026-01-Q1
13-ene-2026,anna,FLOR,Perfilado,MXN," $568,00"," $100,00",Tarjeta,," $468,00",1," $568,00"," $100,00"," $468,00",2026-01,3,2026-01-Q1
13-ene-2026,pilar,FANNY,Esculpidas,MXN," $750,00",,Efectivo,," $750,00",1," $750,00"," $0,00"," $750,00",2026-01,3,2026-01-Q1
13-ene-2026,zowi,FLOR,Manos Gel,MXN," $700,00",,Efectivo,," $700,00",1," $700,00"," $0,00"," $700,00",2026-01,3,2026-01-Q1
14-ene-2026,walk in,FANNY,Manos Gel,MXN," $530,00",,Efectivo,," $530,00",1," $530,00"," $0,00"," $530,00",2026-01,3,2026-01-Q1
14-ene-2026,lu,KAREN RECEPCION,Pies Gel ,MXN," $150,00",,Efectivo,," $150,00",1," $150,00"," $0,00"," $150,00",2026-01,3,2026-01-Q1
14-ene-2026,lu,FLOR,Esculpidas,MXN," $700,00",,Transferencia,," $700,00",1," $700,00"," $0,00"," $700,00",2026-01,3,2026-01-Q1
14-ene-2026,luciana,FLOR,Manos Gel,MXN," $450,00",,Efectivo,," $450,00",1," $450,00"," $0,00"," $450,00",2026-01,3,2026-01-Q1
14-ene-2026,luciana,KAREN RECEPCION,Pies Gel ,MXN," $500,00",,Efectivo,," $500,00",1," $500,00"," $0,00"," $500,00",2026-01,3,2026-01-Q1
14-ene-2026,walk in,FLOR,Extras,MXN," $50,00",,Efectivo,," $50,00",1," $50,00"," $0,00"," $50,00",2026-01,3,2026-01-Q1
14-ene-2026,brittney,MARU,Esculpidas,MXN," $850,00",,Efectivo,," $850,00",1," $850,00"," $0,00"," $850,00",2026-01,3,2026-01-Q1
15-ene-2026,fiona,MARU,Esculpidas,MXN," $797,00"," $97,00",Tarjeta,," $700,00",1," $797,00"," $97,00"," $700,00",2026-01,3,2026-01-Q1
15-ene-2026,fiona,KAREN RECEPCION,Pies Gel ,MXN," $647,00"," $97,00",Tarjeta,," $550,00",1," $647,00"," $97,00"," $550,00",2026-01,3,2026-01-Q1
15-ene-2026,aylen,FLOR,Kapping Gel,MXN," $850,00",,Efectivo,," $850,00",1," $850,00"," $0,00"," $850,00",2026-01,3,2026-01-Q1
15-ene-2026,aylen,FLOR,Pies Gel ,MXN," $650,00",,Efectivo,," $650,00",1," $650,00"," $0,00"," $650,00",2026-01,3,2026-01-Q1
15-ene-2026,clari,MARU,Kapping Gel,MXN," $550,00",,Transferencia,," $550,00",1," $550,00"," $0,00"," $550,00",2026-01,3,2026-01-Q1
